[37.8043637, -122.2711137]
[27.044224, -82.2359254]
[36.910231, -121.7568946]
[31.9973456, -102.0779146]
[39.7383163, -104.3232924]
[28.0836269, -80.60810889999999]
[45.9045591, -122.7439912]
[39.7219884, -86.0899847]
[33.8365932, -117.9143012]
[33.5975393, -112.2718239]
[41.04422, -83.6499321]
[30.0971621, -95.6160549]
[39.1031182, -84.5120196]
[41.6005448, -93.6091064]
[40.8447819, -73.8648268]
[26.2378597, -80.1247667]
[35.6150716, -87.0352831]
[25.7616798, -80.1917902]
[29.4200763, -98.5721016]
[40.8859325, -74.0434736]
[40.486427, -86.13360329999999]
[41.079273, -85.1393513]
[38.2526647, -85.7584557]
[32.6492999, -96.7130521]
[37.9577016, -121.2907796]
[28.3861159, -80.7419984]
[38.939926, -119.9771868]
[36.3302284, -119.2920585]
[47.8805328, -98.8208889]
[32.8387371, -86.6294262]
[32.7026116, -103.1360403]
[40.5755438, -73.9707016]
[42.3600825, -71.0588801]
[39.1031182, -84.5120196]
[40.4233142, -104.7091322]
[41.8781136, -87.6297982]
[34.1336186, -117.9075627]
[29.7604267, -95.3698028]
[36.2184669, -80.9411858]
[38.7071247, -121.2810611]
[33.4734978, -82.0105148]
[40.44062479999999, -79.9958864]
[39.768403, -86.158068]
[38.0608445, -97.92977429999999]
[32.7592955, -97.7972544]
[41.2523634, -95.99798829999999]
[37.2103925, -76.3868797]
[39.4195499, -76.7802528]
[36.7468422, -119.7725868]
[44.8486596, -74.29489830000001]
[29.4241219, -98.49362819999999]
[35.91537, -94.969956]
[45.5230622, -122.6764815]
[43.2217388, -74.1040191]
[35.1823171, -83.3815429]
[45.21011619999999, -123.1987163]
[42.3447572, -123.4568737]
[42.0834335, -71.0183787]
[32.715738, -117.1610838]
[30.3321838, -81.65565099999999]
[37.85900609999999, -80.8542568]
[34.0686208, -117.9389526]
[34.6867846, -118.1541632]
[39.9259463, -75.1196199]
[25.790654, -80.1300455]
[35.4675602, -97.5164276]
[36.2139814, -83.29489219999999]
[37.0870821, -76.4730122]
[36.0395247, -114.9817213]
[37.6624312, -121.8746789]
